country,country_code,date,value
Germany,DEU,2023,
Germany,DEU,2022,4.54389047622681
Germany,DEU,2021,5.45488977432251
Germany,DEU,2020,5.59038019180298
Germany,DEU,2019,5.11552000045776
Germany,DEU,2018,4.97933006286621
Germany,DEU,2017,4.87182998657227
Germany,DEU,2016,4.83923006057739
Germany,DEU,2015,4.85515022277832
Germany,DEU,2014,4.92102003097534
Germany,DEU,2013,4.93538999557495
Germany,DEU,2012,4.92844009399414
Germany,DEU,2011,4.98425006866455
Germany,DEU,2010,5.09588003158569
Germany,DEU,2009,4.34005403518677
Germany,DEU,2008,4.54924011230469
Germany,DEU,2007,3.92246603965759
Germany,DEU,2006,4.02527379989624
Germany,DEU,2005,4.10731077194214
Germany,DEU,2004,4.10064888000488
Germany,DEU,2003,4.17101860046387
France,FRA,2023,
France,FRA,2022,
France,FRA,2021,5.43038988113403
France,FRA,2020,5.65981006622314
France,FRA,2019,5.35443019866943
France,FRA,2018,5.40716981887817
France,FRA,2017,5.45160007476807
France,FRA,2016,5.40805816650391
France,FRA,2015,5.44642734527588
France,FRA,2014,5.48920440673828
France,FRA,2013,5.4928936958313
France,FRA,2012,5.48835611343384
France,FRA,2011,5.48011541366577
France,FRA,2010,5.64279174804688
France,FRA,2009,5.66921901702881
France,FRA,2008,5.38727569580078
France,FRA,2007,5.30452871322632
France,FRA,2006,5.47531032562256
France,FRA,2005,5.51722764968872
France,FRA,2004,5.54923391342163
France,FRA,2003,5.76206302642822
Italy,ITA,2023,
Italy,ITA,2022,
Italy,ITA,2021,4.21828985214233
Italy,ITA,2020,4.44135999679565
Italy,ITA,2019,4.09527015686035
Italy,ITA,2018,4.25614023208618
Italy,ITA,2017,4.04493999481201
Italy,ITA,2016,3.81578993797302
Italy,ITA,2015,4.07362985610962
Italy,ITA,2014,4.06127977371216
Italy,ITA,2013,4.14367008209229
Italy,ITA,2012,4.05601978302002
Italy,ITA,2011,4.11568021774292
Italy,ITA,2010,4.33411979675293
Italy,ITA,2009,4.52371978759766
Italy,ITA,2008,4.38794994354248
Italy,ITA,2007,4.10503005981445
Italy,ITA,2006,4.52545022964478
Italy,ITA,2005,4.23829984664917
Italy,ITA,2004,4.38520002365112
Italy,ITA,2003,4.54179000854492
Spain,ESP,2023,
Spain,ESP,2022,4.31587886810303
Spain,ESP,2021,4.86506986618042
Spain,ESP,2020,4.89540004730225
Spain,ESP,2019,4.23021984100342
Spain,ESP,2018,4.1794900894165
Spain,ESP,2017,4.20552015304565
Spain,ESP,2016,4.22544002532959
Spain,ESP,2015,4.28457021713257
Spain,ESP,2014,4.30150985717773
Spain,ESP,2013,4.34961986541748
Spain,ESP,2012,4.48113012313843
Spain,ESP,2011,4.7408299446106
Spain,ESP,2010,4.85608005523682
Spain,ESP,2009,4.91200017929077
Spain,ESP,2008,4.52805995941162
Spain,ESP,2007,4.25404977798462
Spain,ESP,2006,4.1848201751709
Spain,ESP,2005,4.14432001113892
Spain,ESP,2004,4.15785980224609
Spain,ESP,2003,4.1734299659729
Netherlands,NLD,2023,
Netherlands,NLD,2022,5.05201101303101
Netherlands,NLD,2021,5.50609016418457
Netherlands,NLD,2020,5.42381000518799
Netherlands,NLD,2019,5.15986013412476
Netherlands,NLD,2018,5.35764980316162
Netherlands,NLD,2017,5.17509984970093
Netherlands,NLD,2016,5.47959995269775
Netherlands,NLD,2015,5.34815979003906
Netherlands,NLD,2014,5.458899974823
Netherlands,NLD,2013,5.52655982971191
Netherlands,NLD,2012,5.4102201461792
Netherlands,NLD,2011,5.46303987503052
Netherlands,NLD,2010,5.48908996582031
Netherlands,NLD,2009,5.43156003952026
Netherlands,NLD,2008,5.02904987335205
Netherlands,NLD,2007,4.88682985305786
Netherlands,NLD,2006,5.04402017593384
Netherlands,NLD,2005,5.10939979553223
Netherlands,NLD,2004,5.06297016143799
Netherlands,NLD,2003,5.0404200553894
Sweden,SWE,2023,
Sweden,SWE,2022,
Sweden,SWE,2021,7.57219982147217
Sweden,SWE,2020,7.92561006546021
Sweden,SWE,2019,7.63851022720337
Sweden,SWE,2018,7.64084005355835
Sweden,SWE,2017,7.56883001327515
Sweden,SWE,2016,7.61861991882324
Sweden,SWE,2015,7.4439001083374
Sweden,SWE,2014,7.57372999191284
Sweden,SWE,2013,7.61120986938477
Sweden,SWE,2012,7.5369701385498
Sweden,SWE,2011,6.36691999435425
Sweden,SWE,2010,6.52268981933594
Sweden,SWE,2009,6.74971008300781
Sweden,SWE,2008,6.34455013275146
Sweden,SWE,2007,6.17158985137939
Sweden,SWE,2006,6.36429023742676
Sweden,SWE,2005,6.5064001083374
Sweden,SWE,2004,6.66310977935791
Sweden,SWE,2003,6.79142999649048
Poland,POL,2023,
Poland,POL,2022,
Poland,POL,2021,4.67303991317749
Poland,POL,2020,4.85265016555786
Poland,POL,2019,4.67881011962891
Poland,POL,2018,4.60506010055542
Poland,POL,2017,4.57464981079102
Poland,POL,2016,4.6591100692749
Poland,POL,2015,4.81700992584229
Poland,POL,2014,4.9665699005127
Poland,POL,2013,5.021240234375
Poland,POL,2012,4.86159992218018
Poland,POL,2011,4.8610200881958
Poland,POL,2010,5.10705995559692
Poland,POL,2009,4.98976993560791
Poland,POL,2008,5.04239988327026
Poland,POL,2007,4.86874008178711
Poland,POL,2006,5.20765018463135
Poland,POL,2005,5.42574977874756
Poland,POL,2004,5.35557985305786
Poland,POL,2003,5.32449007034302
Greece,GRC,2023,
Greece,GRC,2022,
Greece,GRC,2021,4.08201456069946
Greece,GRC,2020,4.49500036239624
Greece,GRC,2019,3.58612990379333
Greece,GRC,2018,3.59734010696411
Greece,GRC,2017,3.47708988189697
Greece,GRC,2016,4.01561069488525
Greece,GRC,2015,3.66139006614685
Greece,GRC,2014,4.32135677337646
Greece,GRC,2013,4.49511909484863
Greece,GRC,2012,4.58220291137695
Greece,GRC,2011,4.51630020141602
Greece,GRC,2010,4.14056491851807
Greece,GRC,2009,4.1299352645874
Greece,GRC,2008,3.77288317680359
Greece,GRC,2007,3.59139657020569
Greece,GRC,2006,3.64772200584412
Greece,GRC,2005,3.96395993232727
Greece,GRC,2004,3.66719007492065
Greece,GRC,2003,3.42933988571167
Portugal,PRT,2023,
Portugal,PRT,2022,
Portugal,PRT,2021,4.78316020965576
Portugal,PRT,2020,4.87656021118164
Portugal,PRT,2019,4.63002014160156
Portugal,PRT,2018,4.67515993118286
Portugal,PRT,2017,5.0156102180481
Portugal,PRT,2016,4.7709059715271
Portugal,PRT,2015,4.88554000854492
Portugal,PRT,2014,5.12400007247925
Portugal,PRT,2013,5.2709698677063
Portugal,PRT,2012,4.94940996170044
Portugal,PRT,2011,5.12333011627197
Portugal,PRT,2010,5.41248989105225
Portugal,PRT,2009,5.56314992904663
Portugal,PRT,2008,4.69609022140503
Portugal,PRT,2007,4.92147016525269
Portugal,PRT,2006,4.90767002105713
Portugal,PRT,2005,5.07394981384277
Portugal,PRT,2004,5.04638004302979
Portugal,PRT,2003,5.28152990341187
Norway,NOR,2023,
Norway,NOR,2022,3.96801972389221
Norway,NOR,2021,6.9602198600769
Norway,NOR,2020,8.3728199005127
Norway,NOR,2019,7.8645601272583
Norway,NOR,2018,7.59563016891479
Norway,NOR,2017,7.84598016738892
Norway,NOR,2016,7.98444986343384
Norway,NOR,2015,7.52334976196289
Norway,NOR,2014,7.64403009414673
Norway,NOR,2013,7.43906021118164
Norway,NOR,2012,7.32766008377075
Norway,NOR,2011,6.41490983963013
Norway,NOR,2010,6.71042013168335
Norway,NOR,2009,7.07067012786865
Norway,NOR,2008,6.24915981292725
Norway,NOR,2007,6.50671005249023
Norway,NOR,2006,6.35822010040283
Norway,NOR,2005,6.84082984924316
Norway,NOR,2004,7.27744007110596
Norway,NOR,2003,7.39933013916016
United Kingdom,GBR,2023,
United Kingdom,GBR,2022,4.95917558670044
United Kingdom,GBR,2021,5.90458011627197
United Kingdom,GBR,2020,5.43935012817383
United Kingdom,GBR,2019,5.26115989685059
United Kingdom,GBR,2018,5.20437002182007
United Kingdom,GBR,2017,5.45256996154785
United Kingdom,GBR,2016,5.42795991897583
United Kingdom,GBR,2015,5.55452013015747
United Kingdom,GBR,2014,5.60134983062744
United Kingdom,GBR,2013,5.52530002593994
United Kingdom,GBR,2012,5.57887411117554
United Kingdom,GBR,2011,5.57218980789185
United Kingdom,GBR,2010,5.69867992401123
United Kingdom,GBR,2009,5.06263017654419
United Kingdom,GBR,2008,4.90973997116089
United Kingdom,GBR,2007,4.9244499206543
United Kingdom,GBR,2006,4.97649002075195
United Kingdom,GBR,2005,4.92976999282837
United Kingdom,GBR,2004,4.73554992675781
United Kingdom,GBR,2003,4.8012900352478
Japan,JPN,2023,
Japan,JPN,2022,3.23762130737305
Japan,JPN,2021,3.33563995361328
Japan,JPN,2020,3.30628991127014
Japan,JPN,2019,3.15533995628357
Japan,JPN,2018,3.07782006263733
Japan,JPN,2017,3.13057994842529
Japan,JPN,2016,3.14643001556396
Japan,JPN,2015,3.31221008300781
