country,country_code,date,value
Germany,DEU,2023,54343.2265084958
Germany,DEU,2022,49686.1154582583
Germany,DEU,2021,52265.6541620571
Germany,DEU,2020,47379.765194548
Germany,DEU,2019,47623.8656074829
Germany,DEU,2018,48874.8595028454
Germany,DEU,2017,45526.5999576533
Germany,DEU,2016,42961.0356905775
Germany,DEU,2015,41911.0109851054
Germany,DEU,2014,48971.0824722599
Germany,DEU,2013,47220.0102098851
Germany,DEU,2012,44735.5882319701
Germany,DEU,2011,47646.582043143
Germany,DEU,2010,42409.9356994694
Germany,DEU,2009,42487.2137101496
Germany,DEU,2008,46386.3295924799
Germany,DEU,2007,42350.9217211489
Germany,DEU,2006,36980.3349948954
Germany,DEU,2005,35084.4363546269
Germany,DEU,2004,34566.7359143735
Germany,DEU,2003,30711.1022511331
France,FRA,2023,44690.9345395117
France,FRA,2022,41082.8119320747
France,FRA,2021,43725.0999521245
France,FRA,2020,39169.8606000707
France,FRA,2019,40408.2848574751
France,FRA,2018,41418.1766484844
France,FRA,2017,38687.1626407164
France,FRA,2016,37024.2157133669
France,FRA,2015,36702.4323733379
France,FRA,2014,43148.0459288416
France,FRA,2013,42669.1795111893
France,FRA,2012,40863.5814412333
France,FRA,2011,43929.7840873812
France,FRA,2010,40694.8211697025
France,FRA,2009,41728.0884164132
France,FRA,2008,45464.8181385158
France,FRA,2007,41486.1907828787
France,FRA,2006,36431.5658906555
France,FRA,2005,34696.3718316971
France,FRA,2004,33644.9282220364
France,FRA,2003,29479.5222101175
Italy,ITA,2023,39003.3160954123
Italy,ITA,2022,35635.7442204098
Italy,ITA,2021,36852.5425414951
Italy,ITA,2020,32091.4866621366
Italy,ITA,2019,33812.788724868
Italy,ITA,2018,34746.3441392416
Italy,ITA,2017,32554.14668453
Italy,ITA,2016,31126.3246947273
Italy,ITA,2015,30387.1293187854
Italy,ITA,2014,35750.7197500382
Italy,ITA,2013,35747.707952689
Italy,ITA,2012,35235.7989058242
Italy,ITA,2011,38851.3881339353
Italy,ITA,2010,36184.7118698678
Italy,ITA,2009,37388.4537139699
Italy,ITA,2008,41095.4063415012
Italy,ITA,2007,38031.9709472716
Italy,ITA,2006,33684.7200358552
Italy,ITA,2005,32171.793374715
Italy,ITA,2004,31425.8208728669
Italy,ITA,2003,27618.9417740066
Spain,ESP,2023,33509.0127982139
Spain,ESP,2022,30287.3657583614
Spain,ESP,2021,30817.6828559001
Spain,ESP,2020,27230.3599933583
Spain,ESP,2019,29776.2011500384
Spain,ESP,2018,30592.1264795541
Spain,ESP,2017,28367.9392609439
Spain,ESP,2016,26740.6851818829
Spain,ESP,2015,25969.8383138327
Spain,ESP,2014,29694.8874886229
Spain,ESP,2013,29218.9105170888
Spain,ESP,2012,28456.4438151477
Spain,ESP,2011,31824.6219134777
Spain,ESP,2010,30658.7422282912
Spain,ESP,2009,32279.8208476151
Spain,ESP,2008,35603.248328071
Spain,ESP,2007,32652.015594702
Spain,ESP,2006,28421.686527407
Spain,ESP,2005,26450.9530130382
Spain,ESP,2004,24925.0267844576
Spain,ESP,2003,21522.0170990262
Netherlands,NLD,2023,64572.0059558854
Netherlands,NLD,2022,59123.318556487
Netherlands,NLD,2021,60141.9880911492
Netherlands,NLD,2020,53467.9277413737
Netherlands,NLD,2019,53554.9007491475
Netherlands,NLD,2018,53955.0770024266
Netherlands,NLD,2017,49513.6817346384
Netherlands,NLD,2016,46808.5291492503
Netherlands,NLD,2015,45793.8135434697
Netherlands,NLD,2014,53457.2234864322
Netherlands,NLD,2013,52602.2860520766
Netherlands,NLD,2012,50473.9442002689
Netherlands,NLD,2011,54701.7728030611
Netherlands,NLD,2010,51305.7338533973
Netherlands,NLD,2009,53172.0261581418
Netherlands,NLD,2008,58246.7026905874
Netherlands,NLD,2007,52100.7996285947
Netherlands,NLD,2006,45123.5432406426
Netherlands,NLD,2005,42165.396168388
Netherlands,NLD,2004,40611.3414353091
Netherlands,NLD,2003,35896.7504630706
Sweden,SWE,2023,55516.836477474
Sweden,SWE,2022,55296.9371472535
Sweden,SWE,2021,61174.9680215622
Sweden,SWE,2020,52653.7565934247
Sweden,SWE,2019,51773.0464558993
Sweden,SWE,2018,54181.9069780904
Sweden,SWE,2017,53300.8587281785
Sweden,SWE,2016,51820.3972482676
Sweden,SWE,2015,51197.9529341175
Sweden,SWE,2014,59583.7140001673
Sweden,SWE,2013,60844.2767113975
Sweden,SWE,2012,57749.8251328664
Sweden,SWE,2011,60379.7748160321
Sweden,SWE,2010,52542.8274141037
Sweden,SWE,2009,46707.8673215418
Sweden,SWE,2008,55817.4392710726
Sweden,SWE,2007,53568.5645523213
Sweden,SWE,2006,46531.6001120572
Sweden,SWE,2005,43378.6152117149
Sweden,SWE,2004,42758.2015503417
Sweden,SWE,2003,37292.4214343004
Poland,POL,2023,22056.6661704127
Poland,POL,2022,18891.2121169279
Poland,POL,2021,18635.5104895754
Poland,POL,2020,15987.5753654045
Poland,POL,2019,15874.5220531254
Poland,POL,2018,15658.2120316794
Poland,POL,2017,13913.3402919927
Poland,POL,2016,12464.0110508476
Poland,POL,2015,12637.5220324406
Poland,POL,2014,14262.2841914116
Poland,POL,2013,13621.9023794031
Poland,POL,2012,13087.420943321
Poland,POL,2011,13867.6669408192
Poland,POL,2010,12567.7317676382
Poland,POL,2009,11556.3026866026
Poland,POL,2008,14048.5604672654
Poland,POL,2007,11272.5293683383
Poland,POL,2006,9068.85528307627
Poland,POL,2005,8043.92332253757
Poland,POL,2004,6711.72715262967
Poland,POL,2003,5720.81366178104
Greece,GRC,2023,23400.7278817691
Greece,GRC,2022,20971.8349258283
Greece,GRC,2021,20654.7001960815
Greece,GRC,2020,17886.733165236
Greece,GRC,2019,19335.3602002969
Greece,GRC,2018,19873.4015238771
