country,country_code,date,value
Germany,DEU,2023,
Germany,DEU,2022,
Germany,DEU,2021,
Germany,DEU,2020,32.4
Germany,DEU,2019,31.8
Germany,DEU,2018,31.9
Germany,DEU,2017,31.3
Germany,DEU,2016,31.4
Germany,DEU,2015,31.7
Germany,DEU,2014,30.8
Germany,DEU,2013,31.5
Germany,DEU,2012,31.1
Germany,DEU,2011,30.6
Germany,DEU,2010,30.2
Germany,DEU,2009,30.5
Germany,DEU,2008,30.8
Germany,DEU,2007,31.2
Germany,DEU,2006,31.0
Germany,DEU,2005,31.7
Germany,DEU,2004,30.2
Germany,DEU,2003,29.8
France,FRA,2023,
France,FRA,2022,31.2
France,FRA,2021,31.5
France,FRA,2020,30.7
France,FRA,2019,31.2
France,FRA,2018,32.4
France,FRA,2017,31.6
France,FRA,2016,31.9
France,FRA,2015,32.7
France,FRA,2014,32.3
France,FRA,2013,32.5
France,FRA,2012,33.1
France,FRA,2011,33.3
France,FRA,2010,33.7
France,FRA,2009,32.7
France,FRA,2008,33.0
France,FRA,2007,32.4
France,FRA,2006,29.7
France,FRA,2005,29.8
France,FRA,2004,30.6
France,FRA,2003,31.4
Italy,ITA,2023,
Italy,ITA,2022,33.7
Italy,ITA,2021,34.8
Italy,ITA,2020,35.2
Italy,ITA,2019,34.6
Italy,ITA,2018,35.2
Italy,ITA,2017,35.9
Italy,ITA,2016,35.2
Italy,ITA,2015,35.4
Italy,ITA,2014,34.7
Italy,ITA,2013,34.9
Italy,ITA,2012,35.2
Italy,ITA,2011,35.1
Italy,ITA,2010,34.7
Italy,ITA,2009,33.8
Italy,ITA,2008,33.8
Italy,ITA,2007,32.9
Italy,ITA,2006,33.7
Italy,ITA,2005,33.8
Italy,ITA,2004,34.3
Italy,ITA,2003,34.9
Spain,ESP,2023,
Spain,ESP,2022,33.6
Spain,ESP,2021,33.9
Spain,ESP,2020,34.9
Spain,ESP,2019,34.3
Spain,ESP,2018,34.7
Spain,ESP,2017,34.7
Spain,ESP,2016,35.8
Spain,ESP,2015,36.2
Spain,ESP,2014,36.1
Spain,ESP,2013,36.2
Spain,ESP,2012,35.4
Spain,ESP,2011,35.7
Spain,ESP,2010,35.2
Spain,ESP,2009,34.9
Spain,ESP,2008,34.2
Spain,ESP,2007,34.1
Spain,ESP,2006,33.5
Spain,ESP,2005,32.4
Spain,ESP,2004,33.3
Spain,ESP,2003,31.8
Netherlands,NLD,2023,
Netherlands,NLD,2022,
Netherlands,NLD,2021,25.7
Netherlands,NLD,2020,26.0
Netherlands,NLD,2019,29.2
Netherlands,NLD,2018,28.1
Netherlands,NLD,2017,28.5
Netherlands,NLD,2016,28.2
Netherlands,NLD,2015,28.2
Netherlands,NLD,2014,28.6
Netherlands,NLD,2013,28.1
Netherlands,NLD,2012,27.6
Netherlands,NLD,2011,27.8
Netherlands,NLD,2010,27.8
Netherlands,NLD,2009,27.9
Netherlands,NLD,2008,29.3
Netherlands,NLD,2007,29.6
Netherlands,NLD,2006,30.0
Netherlands,NLD,2005,29.0
Netherlands,NLD,2004,29.8
Netherlands,NLD,2003,
Sweden,SWE,2023,
Sweden,SWE,2022,31.6
Sweden,SWE,2021,29.8
Sweden,SWE,2020,28.9
Sweden,SWE,2019,29.3
Sweden,SWE,2018,30.0
Sweden,SWE,2017,28.8
Sweden,SWE,2016,29.6
Sweden,SWE,2015,29.2
Sweden,SWE,2014,28.4
Sweden,SWE,2013,28.8
Sweden,SWE,2012,27.6
