country,country_code,date,value
Germany,DEU,2023,3.068
Germany,DEU,2022,3.12
Germany,DEU,2021,3.594
Germany,DEU,2020,3.881
Germany,DEU,2019,3.163
Germany,DEU,2018,3.384
Germany,DEU,2017,3.781
Germany,DEU,2016,4.104
Germany,DEU,2015,4.612
Germany,DEU,2014,4.979
Germany,DEU,2013,5.316
Germany,DEU,2012,5.372
Germany,DEU,2011,5.967
Germany,DEU,2010,7.043
Germany,DEU,2009,7.88
Germany,DEU,2008,7.508
Germany,DEU,2007,8.732
Germany,DEU,2006,10.277
Germany,DEU,2005,11.193
Germany,DEU,2004,10.727
Germany,DEU,2003,9.779
France,FRA,2023,7.335
France,FRA,2022,7.308
France,FRA,2021,7.874
France,FRA,2020,8.009
France,FRA,2019,8.415
France,FRA,2018,9.018
France,FRA,2017,9.409
France,FRA,2016,10.057
France,FRA,2015,10.354
France,FRA,2014,10.273
France,FRA,2013,9.913
France,FRA,2012,9.841
France,FRA,2011,9.228
France,FRA,2010,9.279
France,FRA,2009,9.122
France,FRA,2008,7.386
France,FRA,2007,8.008
France,FRA,2006,8.832
France,FRA,2005,8.882
France,FRA,2004,8.914
France,FRA,2003,8.306
Italy,ITA,2023,7.627
Italy,ITA,2022,8.069
Italy,ITA,2021,9.497
Italy,ITA,2020,9.164
Italy,ITA,2019,9.951
Italy,ITA,2018,10.61
Italy,ITA,2017,11.211
Italy,ITA,2016,11.688
Italy,ITA,2015,11.896
Italy,ITA,2014,12.683
Italy,ITA,2013,12.149
Italy,ITA,2012,10.655
Italy,ITA,2011,8.359
Italy,ITA,2010,8.363
Italy,ITA,2009,7.749
Italy,ITA,2008,6.723
Italy,ITA,2007,6.076
Italy,ITA,2006,6.777
Italy,ITA,2005,7.73
Italy,ITA,2004,7.866
Italy,ITA,2003,8.869
Spain,ESP,2023,12.179
Spain,ESP,2022,12.917
Spain,ESP,2021,14.781
Spain,ESP,2020,15.532
Spain,ESP,2019,14.104
Spain,ESP,2018,15.255
Spain,ESP,2017,17.224
Spain,ESP,2016,19.635
Spain,ESP,2015,22.057
Spain,ESP,2014,24.441
Spain,ESP,2013,26.094
Spain,ESP,2012,24.789
Spain,ESP,2011,21.39
Spain,ESP,2010,19.86
Spain,ESP,2009,17.857
Spain,ESP,2008,11.254
Spain,ESP,2007,8.232
Spain,ESP,2006,8.452
Spain,ESP,2005,9.146
Spain,ESP,2004,11.09
Spain,ESP,2003,11.283
Netherlands,NLD,2023,3.537
Netherlands,NLD,2022,3.526
Netherlands,NLD,2021,4.209
Netherlands,NLD,2020,3.82
Netherlands,NLD,2019,3.379
Netherlands,NLD,2018,3.832
Netherlands,NLD,2017,4.837
Netherlands,NLD,2016,6.007
Netherlands,NLD,2015,6.872
Netherlands,NLD,2014,7.419
Netherlands,NLD,2013,7.241
Netherlands,NLD,2012,5.821
Netherlands,NLD,2011,4.977
Netherlands,NLD,2010,4.991
Netherlands,NLD,2009,4.352
Netherlands,NLD,2008,3.658
Netherlands,NLD,2007,4.153
Netherlands,NLD,2006,5.007
Netherlands,NLD,2005,5.872
Netherlands,NLD,2004,4.646
